序号,采购人,合同名称,分类,理由
1568,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心专用数据处理图形工作站采购项目,提取能力,采集地质调查数据
1569,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心地球物探分析软件采购项目,提取能力,采集地质调查数据
1570,水利部淮河水利委员会,分沂入沭以北洪泛区洪水风险图编制,协调能力,组织防洪减灾服务
1571,全国人大机关服务中心、全国人大会议中心,全国人大机关复印纸批量采购项目（第3季度）,协调能力,组织政务服务保障
1572,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心网络路由器采购项目,提取能力,采集地质调查数据
1573,皋兰县教育局,皋兰县教育局全县新建、改扩建、公办幼儿园图书采购项目,协调能力,组织基础教育服务
1574,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心多功能一体机采购项目,提取能力,采集地质调查数据
1575,延吉经济开发区国家税务局,国税系统IT累产品协议供货合同,提取能力,增强税收征管能力
1576,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心莱卡显微镜配件采购项目,提取能力,采集地质调查数据
1577,国家税务总局,国家税务总局金税三期省级优化版2015推广上线计算存储和网络项目第四包协议,提取能力,增强税收征管能力
1578,福建省莆田市国家税务总局,莆田市国家税务局复印机批量集中采购合同,提取能力,增强税收征管能力
1579,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1580,中国电影科学技术研究所,专业影像放映格式转换系统采购项目合同书,协调能力,组织电影科技研究
1581,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心手持数码显微镜采购项目,提取能力,采集地质调查数据
1582,渭源县中西医结合医院,渭源县中西医结合医院2015年度冬季取暖用煤采购项目,协调能力,组织公共医疗服务
1583,国家税务总局,国家税务总局金税三期省级优化版2015推广上线计算存储和网络项目第三包协议,提取能力,增强税收征管能力
1584,福建省莆田市国家税务总局,莆田市国家税务局打印机批量集中采购合同,提取能力,增强税收征管能力
1585,平凉市公安局,平凉市公安局信息通信科设备采购项目,合规能力,增强公安执法能力
1586,国家税务总局,国家税务总局机关通用技术服务项目合同,提取能力,增强税收征管能力
1587,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1588,国家税务总局,国家税务总局应用系统开发管理平台项目合同,提取能力,增强税收征管能力
1589,贺州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1590,全国人大机关服务中心、全国人大会议中心,全国人大机关复印纸批量采购项目（2015第3季度）,协调能力,组织政务服务保障
1591,中国电影科学技术研究所,中标合同—存储采购项目,协调能力,组织电影科技研究
1592,河南省郑州市新密市国家税务局,河南省郑州市新密市国家税务局打印机批量采购合同,提取能力,增强税收征管能力
1593,全国人大机关服务中心、全国人大会议中心,全国人大机关服务中心空调机采购项目（第3季度）,协调能力,组织政务服务保障
1594,福建省莆田市国家税务总局,莆田市国家税务局复印机批量集中采购合同,提取能力,增强税收征管能力
1595,水利部淮河水利委员会,中运河南片防洪保护区洪水风险图编制,协调能力,组织防洪减灾服务
1596,水利部淮河水利委员会,新沂河南片防洪保护区洪水风险图编制,协调能力,组织防洪减灾服务
1597,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心站板式电动堆垛机采购项目,提取能力,采集地质调查数据
1598,延吉经济开发区国家税务局,延吉经济开发区国家税务局采购自助办税服务机,提取能力,增强税收征管能力
1599,河南省郑州市新密市国家税务局,河南省郑州市新密市国家税务局台式机批量采购合同,提取能力,增强税收征管能力
1600,贺州市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1601,中央国家机关政府采购中心,吉林省国家税务局办公室紧急零星采购台式计算机项目合同,提取能力,增强税收征管能力
1602,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心专业遥感图像处理系统软件采购项目,提取能力,采集地质调查数据
1603,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心样品袋采购项目,提取能力,采集地质调查数据
1604,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心偏光显微镜物镜采购项目,提取能力,采集地质调查数据
1605,皋兰县教育局,皋兰县教育局部分中小学校园监控系统配备项目,协调能力,组织基础教育服务
1606,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1607,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心手持定位及数字填图设备采购项目,提取能力,采集地质调查数据
1608,福建省莆田市国家税务局,莆田市国家税务局服务器政府采购,提取能力,增强税收征管能力
1609,吉林省国家税务局,吉林省国家税务局更新IP电话系统项目,提取能力,增强税收征管能力
1610,全国人大机关服务中心,全国人大机关服务中心空调机采购项目（第3季度）,协调能力,组织政务服务保障
1611,福建省莆田市国家税务总局,莆田市国家税务局便携式计算机批量集中采购合同,提取能力,增强税收征管能力
1612,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1613,水利部淮河水利委员会,六塘河片防洪保护区洪水风险图编制,协调能力,组织防洪减灾服务
1614,国家税务总局,国家税务总局金税三期省级优化版2015推广上线计算存储和网络项目第二包协议,提取能力,增强税收征管能力
1615,水利部淮河水利委员会,邳苍东片防洪保护区洪水风险图编制,协调能力,组织防洪减灾服务
1616,水利部淮河水利委员会,新沂河北片防洪保护区洪水风险图编制,协调能力,组织防洪减灾服务
1617,平凉市公安局,平凉市公安局信息通信科设备采购项目,合规能力,增强公安执法能力
1618,国家税务总局,国家税务总局金税三期省级优化版2015推广上线计算存储和网络项目第一包协议,提取能力,增强税收征管能力
1619,中国国际广播电台,2015中国-东盟同唱友谊歌合作协议,协调能力,组织对外广播服务
1620,水利部淮河水利委员会,淮河流域洪水风险图成果汇总与集成,协调能力,组织防洪减灾服务
1621,水利部淮河水利委员会,淮河流域洪水风险图管理与应用系统,协调能力,组织防洪减灾服务
1622,平凉市公安局,平凉市公安局信息通信科设备采购项目,合规能力,增强公安执法能力
1623,中国国际广播电台,在线节目委托项目协议,协调能力,组织对外广播服务
1624,无供应商,贵州大学仪器设备采购合同,协调能力,组织高等教育服务
1625,中国银行业监督管理委员会湘潭监管分局,中国银行业监督管理委员会湘潭监管分局视频会议高清改造采购项目合同,合规能力,增强金融监管能力
1626,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心野外记录手薄采购项目,提取能力,采集地质调查数据
1627,平凉市公安局,平凉市公安局信息通信科机房精密空调采购项目,合规能力,增强公安执法能力
1628,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心专用图形工作站采购项目,提取能力,采集地质调查数据
1629,中国电影科学技术研究所,中央国家机关政府采购网上竞价合同-机架式服务器,协调能力,组织电影科技研究
1630,福建出入境检验检疫局信息中心,福建检验检疫局信息中心IT设备维护采购项目运维服务合同,合规能力,增强检验检疫能力
1631,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心对讲机采购项目,提取能力,采集地质调查数据
1632,国家税务总局,国家税务总局税务互联网数据服务平台项目合同,提取能力,增强税收数据采集
1633,中国农业电影电视中心,舞美制景合同,协调能力,组织农业宣传服务
1634,福建省莆田市国家税务总局,莆田市国家税务局三星打印机批量集中采购合同,提取能力,增强税收征管能力
1635,福建省莆田市国家税务总局,莆田市国家税务局台式计算机批量集中采购合同,提取能力,增强税收征管能力
1636,柳江县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1637,中华人民共和国揭阳出入境检验检疫局,中央单位批量集中采购简易合同,合规能力,增强检验检疫能力
1638,经开区国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1639,国家海洋局北海海洋技术保障中心,声学释放器采购合同,提取能力,采集海洋监测数据
1640,国家税务总局,国税系统空调类产品协议供货合同,提取能力,增强税收征管能力
1641,国家海洋局北海海洋技术保障中心,温盐深铠装钢缆采购合同,提取能力,采集海洋监测数据
1642,国家海洋局北海海洋技术保障中心,船载常规执法机械设备检修维护,合规能力,增强海洋执法能力
1643,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1644,国家海洋局北海海洋工程勘察研究院,国家海洋局北海海洋工程勘察研究院移动工作站采购项目,提取能力,采集海洋勘察数据
1645,国家海洋局北海海洋技术保障中心,大幅面扫描仪网上竞价合同,提取能力,采集海洋监测数据
1646,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1647,国家海洋局北海海洋技术保障中心,实验室三维展示系统,协调能力,组织海洋科学研究
1648,国家海洋局北海海洋工程勘察研究院,GPS信标机（手持）购销合同,提取能力,采集海洋勘察数据
1649,国家海洋局北海海洋技术保障中心,6000米集成化光学拖体,提取能力,采集深海监测数据
1650,国家海洋局北海海洋技术保障中心,感应耦合温盐链传输系统采购合同,提取能力,采集海洋监测数据
1651,福建省莆田市荔城区国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1652,吉林省国家税务总局,吉林省国家税务局办公室紧急零星采购票据打印机项目合同,提取能力,增强税收征管能力
1653,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1654,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1655,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心数字监管设备维护服务第二包,合规能力,增强广电监管能力
1656,全国红色旅游工作协调小组办公室,红色旅游微电影拍摄投放协议,协调能力,组织旅游文化宣传
1657,水利部淮河水利委员会,淮河流域水量分配组织实施及后评估,提取能力,采集水资源数据
1658,国家海洋局北海海洋技术保障中心,单点海流计采购合同,提取能力,采集海洋监测数据
1659,国家海洋局北海海洋技术保障中心,移动工作站网上竞价采购合同,提取能力,采集海洋监测数据
1660,国家海洋局北海海洋工程勘察研究院,侧扫声呐系统采购合同,提取能力,采集海洋勘察数据
1661,定西市公安局交警支队,定西市公安局交警支队机动车驾驶人考试监管系统扩容升级改造项目购销合同,合规能力,增强交通执法能力
1662,甘肃惠临实业发展有限公司,临泽县绿色食品加工品牌孵化园修建性详细规划等项目,协调能力,组织城乡规划服务
1663,北京中医药大学,北京中医药大学学生公寓专项设备购置-一体化防护栏（含隐形防虫纱）合同,协调能力,组织高等教育服务
1664,国家税务总局,吉林省通化市辉南县国家税务局服务器协议供货采购合同,提取能力,增强税收征管能力
1665,国家海洋局北海海洋技术保障中心,大洋一号船2015年特检工程及船载调查设备维修维护技术服务合同,提取能力,采集深海调查数据
1666,国家海洋局北海海洋技术保障中心,三维成像声呐换能器采购合同,提取能力,采集海洋监测数据
1667,靖西县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1668,国家海洋局北海海洋技术保障中心,检测实验室信息化工程,提取能力,采集海洋检测数据
1669,水利部淮河水利委员会,南水北调东线水量年度调度计划组织实施,协调能力,组织水资源调度
1670,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心数字监管设备维护服务第三包,合规能力,增强广电监管能力
1671,福建省仙游县国家税务局,福建省仙游县国家税务局打印机批量集中采购合同,提取能力,增强税收征管能力
1672,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1673,国家海洋局北海海洋工程勘察研究院,水质监测仪采购合同,提取能力,采集海洋水质数据
1674,国家海洋局北海海洋技术保障中心,科考船船载设备备航检修技术服务合同,提取能力,采集海洋科考数据
1675,靖西县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1676,国家海洋局北海海洋技术保障中心,监测船调查辅助设备检修,提取能力,采集海洋监测数据
1677,福建省仙游县国家税务局,福建省仙游县国家税务局复印机批量集中采购合同,提取能力,增强税收征管能力
1678,国家海洋局北海海洋技术保障中心,移动工作站网上竞价采购合同,提取能力,采集海洋监测数据
1679,水利部淮河水利委员会,沂河、沭河水量调度方案,协调能力,组织水资源调度
1680,国家海洋局北海海洋技术保障中心,无人机执法监察信息处理系统,合规能力,增强海洋执法能力
1681,国家海洋局北海海洋工程勘察研究院,声学多普勒流速剖面仪采购合同,提取能力,采集海洋勘察数据
1682,长庆中学,长庆中学所需教学设备项目,协调能力,组织基础教育服务
1683,中央电视台,一卡通系统（餐饮收银系统，医疗管理系统、餐饮管理系统）技术业务服务外包,协调能力,组织广播电视服务
1684,国家海洋局北海海洋技术保障中心,温盐深分析仪采购合同,提取能力,采集海洋监测数据
1685,国家海洋局北海海洋技术保障中心,反向回声仪采购合同,提取能力,采集海洋监测数据
1686,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心机架式服务器协议供货,提取能力,采集地质调查数据
1687,长江水利委员会水文局长江三峡水文水资源勘测局,水文三峡局星站GPS及GPS罗经购买合同b,提取能力,采集水文测量数据
1688,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心数字监管设备维护服务项目第一包,合规能力,增强广电监管能力
1689,国家海洋局北海海洋工程勘察研究院,三轴仪采购合同,提取能力,采集海洋勘察数据
1690,国家海洋局北海海洋技术保障中心,声学多普勒流速剖面仪采购合同,提取能力,采集海洋监测数据
1691,平凉市人民医院,平凉市人民医院医疗设备采购项目,协调能力,组织公共医疗服务
1692,中央国家机关政府采购中心,机场海关金关工程二期监控指挥中心指挥室空调采购项目合同,合规能力,增强海关监控能力
1693,国家海洋局北海海洋工程勘察研究院,中央单位批量集中采购简易合同,提取能力,采集海洋勘察数据
1694,国家海洋局北海海洋技术保障中心,海洋参数观测雷达系统维护,提取能力,采集海洋监测数据
1695,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心机架式服务器协议供货,提取能力,采集地质调查数据
1696,国家税务总局,吉林省国家税务局采购第三批多功能一体机项目合同,提取能力,增强税收征管能力
1697,国家海洋局北海海洋技术保障中心,陆地实验室检测设备,提取能力,采集海洋检测数据
1698,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1699,国家海洋局北海海洋工程勘察研究院,高精度管线探测仪采购合同,提取能力,采集海洋勘察数据
1700,中华人民共和国揭阳出入境检验检疫局,中央单位批量集中采购简易合同,合规能力,增强检验检疫能力
1701,秀屿区国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1702,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1703,国家海洋局北海海洋技术保障中心,设备备件采购合同,提取能力,采集海洋监测数据
1704,长江水利委员会水文局长江三峡水文水资源勘测局,水文三峡局星站GPS及GPS罗经购买合同a,提取能力,采集水文测量数据
1705,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1706,水利部淮河水利委员会,南四湖水资源管理方案,协调能力,组织水资源管理
1707,中华人民共和国深圳海关,深圳海关罗湖招待所机房机柜采购项目合同,合规能力,增强海关查验能力
1708,国家税务总局,国税系统IT类产品协议供货合同,提取能力,增强税收征管能力
1709,陇南市中心血站,陇南市中心血站设备采购项目(第一包),协调能力,组织公共医疗服务
1710,福建省仙游县国家税务总局,福建省仙游县国家税务局PC机批量集中采购合同,提取能力,增强税收征管能力
1711,国家税务总局,吉林省通化市辉南县国家税务局多功能一体机协议供货采购合同,提取能力,增强税收征管能力
1712,国家海洋局北海海洋工程勘察研究院,无棱镜全站仪采购合同,提取能力,采集海洋勘察数据
1713,国家海洋局北海海洋工程勘察研究院,国家海洋局北海海洋工程勘察研究院信息类设备采购项目合同,提取能力,采集海洋勘察数据
1714,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1715,国家海洋局北海海洋技术保障中心,海警船执法装备恢复工程,合规能力,增强海洋执法能力
1716,国家税务总局,吉林省延边州汪清且国家税务局台式机批量政府采购合同,提取能力,增强税收征管能力
1717,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心机架式服务器协议供货,提取能力,采集地质调查数据
1718,柳江县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1719,中国地质调查局成都地质调查中心,中国地质调查局成都地质调查中心投影仪采购项目,提取能力,采集地质调查数据
1720,中央国家机关政府采购中心,吉林省国家税务局办公室紧急零星采购台式计算机项目合同,提取能力,增强税收征管能力
1721,国家海洋局北海海洋技术保障中心,海洋高新技术装备检测维护实验室改造工程,提取能力,采集海洋检测数据
1722,秀屿区国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1723,水利部淮河水利委员会,南水北调东线一期工程应急调度预案编制,协调能力,组织水资源调度
1724,国家海洋局北海海洋技术保障中心,铠装缆在线检测监视系统,提取能力,采集海洋监测数据
1725,靖西县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1726,国家海洋环境监测中心,国家海洋环境监测中心海域低分影像校正与匀色服务合同,提取能力,采集海洋遥感数据
1727,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1728,吉林省国家税务总局,吉林省国家税务局征管处采购交换机项目合同,提取能力,增强税收征管能力
1729,柳江县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1730,中国煤炭地质总局,电感耦合等离子体质谱仪采购合同,提取能力,采集地质调查数据
1731,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1732,靖远县城乡规划局,白银市靖远县"多规合一"地形图（1:1000）测绘项目,提取能力,采集规划测绘数据
1733,中央国家机关政府采购中心,深圳海关金关工程二期视频专网建设汇聚交换机设备及模块采购项目合同,合规能力,增强海关监控能力
1734,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1735,国家税务总局,吉林省国家税务局纳服处采购多功能一体机项目合同,提取能力,增强税收征管能力
1736,国家海洋局北海分局机关服务中心,中央单位批量集中采购简易合同,协调能力,组织海洋公共服务
1737,中央国家机关政府采购中心,深圳海关和平路201号会议室购置一部投影仪项目合同,合规能力,增强海关查验能力
1738,国家税务总局税务干部进修学院,技术服务合同书,提取能力,增强税务培训能力
1739,福建省仙游县国家税务局,福建省仙游县国家税务局打印机批量集中采购合同,提取能力,增强税收征管能力
1740,惠安县国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1741,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1742,玉树藏族自治州国家税务局,国税系统办公设备类产品协议供货合同,提取能力,增强税收征管能力
1743,中央国家机关政府采购中心,深圳湾海关旅检大楼三楼监控中心机房更换UPS电池项目合同,合规能力,增强海关监控能力
1744,中国煤炭地质总局,全二维气相色谱质谱仪采购合同,提取能力,采集地质调查数据
1745,中央国家机关政府采购中心,深圳海关金关工程二期惠州港海关监控指挥中心指挥室采购之UPS、空调设备合同,合规能力,增强海关监控能力
1746,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1747,玉树藏族自治州国家税务局,玉树藏族自治州国家税务局2015年3月份液晶电视采购,提取能力,增强税收征管能力
1748,中央国家机关政府采购中心,深圳海关皇岗海关接入层网络升级项目合同,合规能力,增强海关通关监管
1749,中央国家机关政府采购中心,深圳海关跨境贸易电子商务配套服务器设备购置项目合同,合规能力,增强海关通关监管
1750,汪清县国家税务局,吉林省延边州汪清县国家税务局复印机批量政府采购,提取能力,增强税收征管能力
1751,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1752,上海科技大学,上海科技大学800MHz核磁,协调能力,组织高等教育服务
1753,上海市国家税务局,上海市国家税务局自助办税终端（ARM机）采购合同,提取能力,增强税收征管能力
1754,国家税务总局,吉林省延边州延吉市国家税务局打印机合同,提取能力,增强税收征管能力
1755,吉林省国家税务局,吉林省延边州延吉市国家税务局自助办税终端设备采购合同,提取能力,增强税收征管能力
1756,中国水利水电科学研究院,技术开发合同,协调能力,组织水利科学研究
1757,国家税务总局,吉林省延边州延吉市国家税务局计算机合同,提取能力,增强税收征管能力
1758,甘肃医学院,甘肃医学院录播教室设施采购项目,协调能力,组织高等教育服务
1759,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1760,和龙市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1761,国家海洋局北海分局机关服务中心,中央单位批量集中采购简易合同,协调能力,组织海洋公共服务
1762,珲春市国家税务局,吉林省延边州珲春市国家税务局自助办税终端设备采购,提取能力,增强税收征管能力
1763,吉林省国家税务总局,吉林省国家税务局征管处紧急采购台式计算机项目合同,提取能力,增强税收征管能力
1764,国家海洋环境监测中心,国家海洋环境监测中心核心机房改造工程施工合同,提取能力,采集海洋监测数据
1765,吉林省国家税务局,长春市国家税务局自助办税终端设备采购合同,提取能力,增强税收征管能力
1766,中央国家机关政府采购中心,跨境电子商务试点配套沙头角海关网络改造工程网络设备合同,合规能力,增强海关通关监管
1767,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1768,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1769,中国保险监督管理委员会,保监会灾备中心综合布线系统项目合同,合规能力,增强保险监管能力
1770,中央国家机关政府采购中心,深圳海关跨境贸易电子商务试点工程网络设备模块项目合同,合规能力,增强海关通关监管
1771,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1772,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1773,国家海洋局南海分局,配备500吨级近岸海洋环境监测船监理合同,提取能力,采集海洋监测数据
1774,国家海洋环境监测中心,国家海洋环境监测中心云台设备购销合同,提取能力,采集海洋监测数据
1775,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1776,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1777,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1778,中国煤炭地质总局,中国煤炭地质总局2015年度中央财政地勘能力建设专项-三维地质雷达系统采购项目采购合同,提取能力,采集地质调查数据
1779,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1780,中央国家机关政府采购中心,深圳海关会议室采购高清投影机一台合同,合规能力,增强海关查验能力
1781,国家海洋局,配备500吨级近岸海洋环境监测船建造招标,提取能力,采集海洋监测数据
1782,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1783,中央国家机关政府采购中心,深圳海关关区视频会议系统项目合同,合规能力,增强海关查验能力
1784,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1785,辽宁省抚顺市国家税务局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1786,庆阳市国营湘乐林业总场梁掌林场,庆阳市国营湘乐林业总场梁掌林场2014年度森林抚育项目,协调能力,组织林业公共服务
1787,集安市国家税务局,吉林省通化市集安市国家税务局2015年7月扫描仪采购合同,提取能力,增强税收征管能力
1788,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1789,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1790,国家海洋局,国家海洋局配备500吨级近岸海洋环境监测船监理合同,提取能力,采集海洋监测数据
1791,中央国家机关政府采购中心,布吉海关主机房更换UPS电池项目合同,合规能力,增强海关查验能力
1792,中国水利水电科学研究院,技术服务合同,协调能力,组织水利科学研究
1793,国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1794,靖远县北湾镇人民政府,北湾镇人民政府一事一议文化广场健身器材采购项目,协调能力,组织公共文化服务
1795,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1796,福建省仙游县国家税务局,福建省仙游县国家税务局一体机批量集中采购合同,提取能力,增强税收征管能力
1797,辽宁省抚顺市国家税务总局,国税系统批量集中采购合同,提取能力,增强税收征管能力
1798,国家税务总局,柳城县国家税务局台式计算机采购,提取能力,增强税收征管能力
1799,中央国家机关政府采购中心,深圳海关WAPI无线网络试点建设项目合同,合规能力,增强海关通关监管
1800,吉林省国家税务局,吉林公主岭经济开发区国家税务局自助办税终端设备采购项目,提取能力,增强税收征管能力
1801,福建省仙游县国家税务局,仙游县国家税务局传真机协议供货合同,提取能力,增强税收征管能力
1802,福建省仙游县国家税务局,福建省仙游县国家税务局扫描仪协议供货合同,提取能力,增强税收征管能力
1803,景泰县民安供热有限公司,白银市景泰县民安供热有限公司2015至2016年度城区集中供暖燃煤采购项目,协调能力,组织公共供暖服务
1804,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1805,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1806,中华人民共和国深圳海关,深圳海关2015年新招录公务员集体宿舍电视配置项目合同,合规能力,增强海关查验能力
1807,国家税务总局,吉林省通化市国家税务局2015年1季度服务器协议供货,提取能力,增强税收征管能力
1808,国家税务总局,吉林省通化市国家税务局稽查局2015年2季度便携式计算机批量,提取能力,增强税收征管能力
1809,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心数字电视监管平台系统维护项目,合规能力,增强广电监管能力
1810,厦门市国家税务局车辆购置税征收管理分局,国税系统办公设备类产品协议供货合同,提取能力,增强税收征管能力
1811,国家税务总局,吉林省通化市国家税务局稽查局2015年2季度A3彩色复印机,提取能力,增强税收征管能力
1812,中国银行业监督管理委员会,银监会核心及中端路由器项目政府采购合同,合规能力,增强金融监管能力
1813,汪清县国家税务局,吉林省延边州汪清县国家税务局一体机采购合同,提取能力,增强税收征管能力
1814,国家税务总局,吉林省通化市国家税务局机关2015年2季度便携式计算机批量,提取能力,增强税收征管能力
1815,国家新闻出版广电总局监管中心,国家新闻出版广电总局监管中心无线模拟广播电视监测前端备件第一包,合规能力,增强广电监管能力
1816,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1817,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1818,白山市政府采购中心,吉林省白山市国税局采购电子公文彩色打印机合同,提取能力,增强税收征管能力
1819,国家税务总局,吉林省通化市国家税务局2015年3季度空调协议供货,提取能力,增强税收征管能力
1820,中华人民共和国深圳海关,金关二期深圳海关信息中心机房机柜空间扩容改造项目合同,合规能力,增强海关数据处理
1821,中国银行业监督管理委员会泰州监管分局,中国银行业监督管理委员会泰州监管分局打印机采购合同,合规能力,增强金融监管能力
1822,天津市金色思想科技发展有限公司,中央国家机关政府采购网上竞价合同,协调能力,组织科技服务
1823,蒲城县国家税务局,陕西省渭南市蒲城县国家税务局城区税务分局综合业务办公用房维修改造项目施工合同,提取能力,增强税收征管能力
1824,国土资源部信息中心,《国土资源部业务应用服务开发与运行管理系统和客户服务管理系统建设及标准规范制定》项目合同书,提取能力,采集国土资源数据
1825,珲春市国家税务局,吉林省延边州珲春市国家税务局打印机批量采购,提取能力,增强税收征管能力
1826,渭南市临渭区国家税务局,陕西省渭南市临渭区国家税务局桥南税务分局办公用房维修项目,提取能力,增强税收征管能力
1827,国家税务总局,吉林省通化市国家税务局稽查局2015年2季度台式计算机批量,提取能力,增强税收征管能力
1828,舟曲县财政局,舟曲县2015年贫困村一事一议太阳能路灯购置及安装合同,协调能力,组织农村基础设施
1829,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1830,中华人民共和国哈尔滨海关,中央单位批量集中采购简易合同,合规能力,增强海关查验能力
1831,桂阳县国家税务局,桂阳县国家税务局机关大院后山维修工程,提取能力,增强税收征管能力
1832,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1833,国家税务总局,吉林省通化市国家税务局机关2015年3月扫描仪协议供货,提取能力,增强税收征管能力
1834,山东黄河河务局山东黄河医院,中央单位批量集中采购简易合同,协调能力,组织公共医疗服务
1835,国家税务总局,吉林省通化市国家税务局机关2015年3季度台式计算机批量,提取能力,增强税收征管能力
1836,深圳海关,深圳海关金关二期物联网试点(查验作业流程监控平台系统)项目合同,合规能力,增强海关查验能力
1837,汪清县国家税务局,吉林省延边州汪清县国家税务传真机协议采购合同,提取能力,增强税收征管能力
1838,国家税务总局,吉林省通化市国家税务局稽查局2015年2季度复印机批量,提取能力,增强税收征管能力
1839,北京市大兴区文化委员会,基层文化活动室装修改造项目政府采购合同,协调能力,组织公共文化服务
