年份,合同名称,详情链接,签订时间,发布时间,采购人,供应商,合同编号,项目编号,采购人地址,采购人联系方式,供应商地址,供应商联系方式,主要标的名称,规格型号或服务要求,主要标的数量,主要标的单价,合同金额,履约期限和地点等简要信息,采购方式,所属地域,所属行业,代理机构,合同签订日期,合同公告日期,合同金额num_万元,id,采购人_纬度,采购人_经度,采购人_省,采购人_省代码,采购人_市,采购人_市代码,采购人_县,采购人_县代码,供应商_纬度,供应商_经度,供应商_省,供应商_省代码,供应商_市,供应商_市代码,供应商_县,供应商_县代码,text,ML预测
2012,逊河镇大公河村清淤修路项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b01850ef436fe5260?contractSign=0,2012-12-03,2022-12-14,逊克县逊河镇大公河村民委员会,黑龙江省中都建筑工程有限公司,FWHTHLJGCYB029901Z20221193758,be3443fba9344d7ea752fca6686532a9,逊克县逊河镇大公河村民委员会,18804562567,黑河市逊克县望江家园第二幢一单元311门市,19845157543,清淤修路项目,详见合同,1.0000份,263117.3200元,26.311732万元,线上签订,电子卖场,,,,2012-12-03,2022-12-14,26.311732,922956.0,49.3488397869571,127.945190917801,黑龙江省,230000.0,黑河市,231100.0,逊克县,231123.0,49.5818535895145,128.470659550617,黑龙江省,230000.0,黑河市,231100.0,逊克县,231123.0,逊克县逊河镇大公河村民委员会 逊河镇大公河村清淤修路项目,协调能力
2012,表格印刷,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af96901851496a7f25a32?contractSign=0,2012-12-05,2022-12-15,大庆市大同区统计局,大庆市大同区继英印务牌匾制作室,FWHTHLJGCYC08140120221195431,c7fc38ee899a4edb90c8e73b1450b5dd,大庆市大同区统计局,13039852888,黑龙江省大庆市大同区同阳大路208号,13069664015,表格印刷,详见合同,1.0000份,13500.0000元,1.350000万元,大庆市大同区政府,电子卖场,,,,2012-12-05,2022-12-15,1.35,922957.0,46.0379578663177,124.80570853985,黑龙江省,230000.0,大庆市,230600.0,大同区,230606.0,46.0318793835531,124.819585151256,黑龙江省,230000.0,大庆市,230600.0,大同区,230606.0,大庆市大同区统计局 表格印刷,提取能力
2012,博物馆可移动文物监理费,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af969018513a65c023ae9?contractSign=0,2012-12-09,2022-12-15,泰来县图书馆,沈阳爱乐盟工程顾问有限公司,FWHTHLJGCYC100601Z20221202741,f73882f33c0344dd9d1f5b05c6e30488,泰来县图书馆,13845258112,辽宁省沈阳市皇姑区长江南街6号（1-24-9）,18944662677,博物馆可移动文物监理费,详见合同,1.0000份,14800.0000元,1.480000万元,黑龙江省齐齐哈尔市泰来县,电子卖场,,,,2012-12-09,2022-12-15,1.48,922958.0,46.3901704375591,123.410127171806,黑龙江省,230000.0,齐齐哈尔市,230200.0,泰来县,230224.0,41.8127879792175,123.406284570752,辽宁省,210000.0,沈阳市,210100.0,皇姑区,210105.0,泰来县图书馆 博物馆可移动文物监理费,协调能力
2012,审查调查实务手册,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af96901851a11e55e5868?contractSign=0,2012-12-14,2022-12-16,中国共产党南岔县纪律检查委员会、南岔县监察委员会,伊春市人民政府文印中心,FWHTHLJGCYC08140120221207916,25c753a4f3a646849f0dafaa12627a26,中国共产党南岔县纪律检查委员会、南岔县监察委员会,13846641228,黑龙江省伊春市伊春区西城新区市政府大楼,15776007599,审查调查实务手册,详见合同,1.0000份,750.0000元,0.075000万元,伊春市南岔县联合街94号,电子卖场,,,,2012-12-14,2022-12-16,0.075,922959.0,47.1357650376927,129.276631420336,黑龙江省,230000.0,伊春市,230700.0,南岔县,230726.0,39.9108223571379,116.359786417738,北京市,110000.0,北京市,110000.0,西城区,110102.0,中国共产党南岔县纪律检查委员会、南岔县监察委员会 审查调查实务手册,合规能力
2012,会议记录薄,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af969018518fff3e4324d?contractSign=0,2012-12-16,2022-12-16,大庆市大同区总工会,大庆市鸿鑫印刷有限公司,FWHTHLJGCYC08140120221208857,e90159fd092f4135a760479dc9aaa65a,大庆市大同区总工会,13836805129,黑龙江省大庆市大同区大同镇同春街路东,13351856822,会议记录薄,详见合同,1.0000份,1440.0000元,0.144000万元,大庆市鸿鑫印刷有限公司,电子卖场,,,,2012-12-16,2022-12-16,0.144,922960.0,46.0374064125945,124.80653911769,黑龙江省,230000.0,大庆市,230600.0,大同区,230606.0,46.0320167746926,124.813484827099,黑龙江省,230000.0,大庆市,230600.0,大同区,230606.0,大庆市大同区总工会 会议记录薄,协调能力
2012,招商资料印刷,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af96901852a6a176e1563?contractSign=0,2012-12-18,2022-12-19,哈尔滨市文化广电和旅游局,哈尔滨华焱印务有限公司,FWHTHLJGCYC08140120221211041,a5461ffdc113401980af8d50d589ee10,哈尔滨市文化广电和旅游局,15699661617,哈尔滨市松北区松北镇世纪花园C区1号楼6号商服,18704607559,招商资料印刷,详见合同,1.0000份,90000.0000元,9.000000万元,哈尔滨市,电子卖场,,,,2012-12-18,2022-12-19,9.0,922961.0,45.8017907450911,126.528921159105,黑龙江省,230000.0,哈尔滨市,230100.0,松北区,230109.0,45.8114076597582,126.50247941439,黑龙江省,230000.0,哈尔滨市,230100.0,松北区,230109.0,哈尔滨市文化广电和旅游局 招商资料印刷,协调能力
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa848afb0b01852db6be97410a?contractSign=0,2012-12-05,2022-12-20,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,HT-2022-02073680,DDYJ-2022-618028,广东省-湛江市-麻章区广东省湛江市麻章区湛江经济技术开发区硇洲卫生院,13822584247,湛江经济技术开发区东海东山街道东线安宁新屋场内,13828264237,印刷服务,详见合同,30000.00张,0.10元,1.365000万元,广东省_湛江市_湛江经济技术开发区,电子卖场,,,,2012-12-05,2022-12-20,1.365,922962.0,21.2659267364177,110.32955745954,广东省,440000.0,湛江市,440800.0,麻章区,440811.0,24.9221990312529,102.476532820775,云南省,530000.0,昆明市,530100.0,安宁市,530181.0,湛江经济技术开发区硇洲卫生院 湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,协调能力
2012,湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9848af96901852db3d7433af5?contractSign=0,2012-12-05,2022-12-20,湛江经济技术开发区硇洲卫生院,湛江经济技术开发区东海鸿好印刷厂,HT-2022-02073654,DDYJ-2022-604824,广东省-湛江市-麻章区广东省湛江市麻章区湛江经济技术开发区硇洲卫生院,13822584247,湛江经济技术开发区东海东山街道东线安宁新屋场内,13828264237,印刷服务,详见合同,15000.00张,0.18元,1.055500万元,广东省_湛江市_湛江经济技术开发区,电子卖场,,,,2012-12-05,2022-12-20,1.0555,922963.0,21.2659267364177,110.32955745954,广东省,440000.0,湛江市,440800.0,麻章区,440811.0,24.9221990312529,102.476532820775,云南省,530000.0,昆明市,530100.0,安宁市,530181.0,湛江经济技术开发区硇洲卫生院 湛江经济技术开发区硇洲卫生院印刷服务定点议价采购合同,协调能力
2012,2022年度养护业务车辆维修服务,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa856285ba0185c29511947c4f?contractSign=0,2012-12-12,2023-01-18,同江市农村公路养护中心,同江市文忠修理部,FWHTHLJGCYC05039920221191473,565db28d87054f6f8f9714ef2db0e01d,黑龙江省佳木斯市同江市同江市友谊路57号,13836616056,同江市外环路果蔬建材批发市场4号楼,13763636765,2022年度养护业务车辆维修服务,详见合同,1.0000份,95010.0000元,9.501000万元,同江市农村公路养护中心,电子卖场,,,,2012-12-12,2023-01-18,9.501,922964.0,47.6444055581655,132.513443864557,黑龙江省,230000.0,佳木斯市,230800.0,同江市,230881.0,48.2150886043653,133.893120679166,黑龙江省,230000.0,佳木斯市,230800.0,同江市,230881.0,同江市农村公路养护中心 2022年度养护业务车辆维修服务,协调能力
2012,合肥市生活垃圾焚烧发电厂特许经营项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa8855572a0188f5ba92387cfd?contractSign=0,2012-06-06,2023-06-26,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,34019920230626000226,340100222411200400002,安徽省合肥市包河区屯溪路330号,62776261,中节能（合肥）可再生能源有限公司,67159898,焚烧发电运营费及环境监测费,null,1.00,5085632.06,,无,,,,,2012-06-06,2023-06-26,,922965.0,31.8500126049873,117.279663355734,安徽省,340000.0,合肥市,340100.0,包河区,340111.0,31.7862880652767,117.50246244703,安徽省,340000.0,合肥市,340100.0,肥东县,340122.0,合肥市生活废弃物管理中心 合肥市生活垃圾焚烧发电厂特许经营项目,协调能力
2012,重竞技运动管理中心改扩建项目一期工程,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a9896b8a2e01898691abbb142d?contractSign=0,2012-06-30,2023-07-24,黑龙江省重竞技运动管理中心,北京建工博海建设有限公司,HF-2011-0201,HF-2011-0201,黑龙江省哈尔滨市香坊区和平路73号,86495111,北京市市辖区西城区北京市西城区三里河北街甲1号,18545859894,重竞技运动管理中心改扩建工程一期项目,详见合同,1.0000项,3103252.4000元,310.325240万元,不详,竞争性磋商,,,,2012-06-30,2023-07-24,310.32524,922966.0,45.724603666561,126.646689124214,黑龙江省,230000.0,哈尔滨市,230100.0,香坊区,230110.0,39.9169199757742,116.331929951973,北京市,110000.0,北京市,110000.0,西城区,110102.0,黑龙江省重竞技运动管理中心 重竞技运动管理中心改扩建项目一期工程,协调能力
2012,合肥市生活垃圾焚烧发电厂特许经营项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a989ab923d0189aed8f5450812?contractSign=0,2012-06-06,2023-08-01,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,34019920230801000207,340100222411200400002,安徽省合肥市包河区屯溪路330号,62776261,中节能（合肥）可再生能源有限公司,67159898,焚烧发电运营费及环境监测费,null,1.00,5080240.27,,无,,,,,2012-06-06,2023-08-01,,922967.0,31.8500126049873,117.279663355734,安徽省,340000.0,合肥市,340100.0,包河区,340111.0,31.7862880652767,117.50246244703,安徽省,340000.0,合肥市,340100.0,肥东县,340122.0,合肥市生活废弃物管理中心 合肥市生活垃圾焚烧发电厂特许经营项目,协调能力
2012,合肥市生活垃圾焚烧发电厂特许经营项目,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a98a0c612c018a1fe065cd57c1?contractSign=0,2012-06-06,2023-08-23,合肥市生活废弃物管理中心,中节能（合肥）可再生能源有限公司,34019920230823000001,340100222411200400002,安徽省合肥市包河区屯溪路330号,62776261,中节能（合肥）可再生能源有限公司,67159898,焚烧发电运营费及环境监测费,null,1.00,5497411.91,,无,,,,,2012-06-06,2023-08-23,,922968.0,31.8500126049873,117.279663355734,安徽省,340000.0,合肥市,340100.0,包河区,340111.0,31.7862880652767,117.50246244703,安徽省,340000.0,合肥市,340100.0,肥东县,340122.0,合肥市生活废弃物管理中心 合肥市生活垃圾焚烧发电厂特许经营项目,协调能力
2012,后勤处烘干机质保金退回,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a98a78aaa8018a96eb98ba35ff?contractSign=0,2012-08-14,2023-09-15,东北农业大学,天津蝶桥厨房设备有限公司,无,烘干机质保金,香坊区长江路600号,55191313,天津市市辖区东丽区空港物流加工区环河南路76号,18622293218,厨房操作台,详见合同,1.0000项,3150.0000元,0.315000万元,不详,竞争性谈判,,,,2012-08-14,2023-09-15,0.315,922969.0,45.7495148486817,126.718077615845,黑龙江省,230000.0,哈尔滨市,230100.0,香坊区,230110.0,39.1164465981605,117.4051220332,天津市,120000.0,天津市,120000.0,东丽区,120110.0,东北农业大学 后勤处烘干机质保金退回,协调能力
2012,新校区学生公寓楼建设合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa8aa124cc018ab57750031e22?contractSign=0,2012-10-10,2023-09-21,晋中学院,山西安华建设工程有限公司,11N40769134120232402,CGXM20231499004492,山西省晋中市榆次区文华街199号,18135490096,山西安华建设工程有限公司,19903594513,新校区学生公寓楼建设,null,1.00,11109695.26,,无,,,,,2012-10-10,2023-09-21,,922970.0,37.741167114979,112.711412422975,山西省,140000.0,晋中市,140700.0,榆次区,140702.0,40.6311958599996,117.364457932016,北京市,110000.0,北京市,110000.0,密云区,110118.0,晋中学院 新校区学生公寓楼建设合同,协调能力
2012,建设工程施工合同-山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa8c0e0107018c0ecece6912ae?contractSign=0,2012-06-11,2023-11-27,山西传媒学院,山西六建集团有限公司,11N40574795420231801,14000023202T200000809,省高校新区文华街125号,15103439407,山西六建集团有限公司,13803418722,山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,null,1.00,19880000.00,,无,,,,,2012-06-11,2023-11-27,,922971.0,28.6894913415816,115.937090050971,江西省,360000.0,南昌市,360100.0,青山湖区,360111.0,29.367678736128,105.511092814466,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,山西传媒学院 建设工程施工合同-山西传媒艺术学院（筹）校区演播与制作中心工程施工五标段,协调能力
2012,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa8c0e0107018c15073c3975e3?contractSign=0,2012-04-17,2023-11-28,山西传媒学院,山西建设投资集团有限公司,11N40574795420232001,14000023202T200000809,省高校新区文华街125号,15103439407,山西建设投资集团有限公司,13834043544,山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,null,1.00,6680000.00,,无,,,,,2012-04-17,2023-11-28,,922972.0,28.6894913415816,115.937090050971,江西省,360000.0,南昌市,360100.0,青山湖区,360111.0,39.7509672401433,117.303171444598,天津市,120000.0,天津市,120000.0,宝坻区,120115.0,山西传媒学院 山西传媒艺术学院（筹）校区图书馆、学生素质拓展中心、国家动画和传媒创业中心工程施工四标段,协调能力
